时间,农林牧渔(申万),基础化工(申万),钢铁(申万),有色金属(申万),电子(申万),家用电器(申万),食品饮料(申万),纺织服饰(申万),轻工制造(申万),医药生物(申万),公用事业(申万),交通运输(申万),房地产(申万),商贸零售(申万),社会服务(申万),综合(申万),建筑材料(申万),建筑装饰(申万),电力设备(申万),国防军工(申万),计算机(申万),传媒(申万),通信(申万),银行(申万),非银金融(申万),汽车(申万),机械设备(申万),煤炭(申万),石油石化(申万),环保(申万),美容护理(申万),沪深300
2005-01-31,-0.09151977524182835,-0.09656503940357211,-0.011725583735199135,-0.07476515219816135,-0.08833246717404714,-0.05220197232376856,-0.015056775931120472,-0.09356436525393752,-0.08602620799976447,-0.06857441246079489,-0.08852509921174176,-0.048722686103445094,0.0012671537388186539,-0.056832787505574675,-0.01519586996837246,-0.03741296426746733,-0.0728577561414729,-0.07103183540349982,-0.12025895335773207,-0.126988443074113,-0.10309849663766707,-0.060211018577836097,0.001541586262118824,-0.016175690553715448,-0.1542600018295708,-0.03912602042206777,-0.07593399643393507,-0.09510494195871849,-0.14386751450442645,-0.08137439051188318,-0.12299803778406886,-0.04617064809940946
2005-02-28,0.10191153111886894,0.11208276817861654,0.08271211001865891,0.13378646549034923,0.10926143963970014,0.08862166688395808,0.08049285728698118,0.10465068218376089,0.06508457418369089,0.07935771057181702,0.0757919645041831,0.06807419214853669,0.06449068392325358,0.0907752530936023,0.10271306906779706,0.0987563077598491,0.09329814896867725,0.10084164814162716,0.11318731351441647,0.11704111161656693,0.12141699114506661,0.10561924787143005,0.07132084974019925,0.061896581708508584,0.14892960950551193,0.09991880621170815,0.1069651093923431,0.11935210687096834,0.12496977178060735,0.10210937663994862,0.07873201586286226,0.08538078427367785
2005-03-31,-0.11921989357149451,-0.09390419231658031,-0.09330665936547257,-0.13202367825214262,-0.17515238055741988,-0.14492300043629916,-0.03619172239234585,-0.15233508070404872,-0.13178141789724662,-0.09298267692826435,-0.09744894457872509,-0.031088769578309045,-0.1462732380494377,-0.09538844000438282,-0.07852217951043548,-0.1643211108625786,-0.1243788954170608,-0.10623111325931248,-0.13611462831772703,-0.11731359118228532,-0.16411480085916078,-0.16936740849163012,-0.1562107985444444,-0.09173991844330731,-0.21554598504580122,-0.19384563215094827,-0.12699606883926215,-0.11378302321609678,-0.10836803672178177,-0.15359202059485144,-0.13066875002583433,-0.09874466485817433
2005-04-29,-0.07841694311174992,-0.017071197843578707,-0.07840447284645326,-0.035165489683783614,-0.12997844295937525,0.017919703009832,0.027224144638757223,-0.05230826424308304,-0.0449235203242728,-0.0017671318166240018,-0.014735312228038144,0.026556417361432674,-0.038470130329455836,-0.015208514249768832,-0.02929908567124955,-0.06218654064705511,-0.1334484032819663,-0.03281819595073746,-0.05131744104267795,-0.010891637621320414,-0.09847126686974739,-0.19789613192527275,-0.0781743753536694,0.0864005399951436,0.14766554478150387,-0.0687670075299735,-0.04125594509166345,0.0033138990911220764,-0.02092186274125969,-0.08124624975395661,-0.052727938841283156,-0.01046420565636976
2005-05-31,-0.04690362342402822,-0.12100633308884932,-0.0795102672499139,-0.10322389508624796,-0.02712522492864784,-0.01632004142050915,-0.08087433862197839,-0.0949952217823098,-0.03894694321902797,-0.0646218123184403,-0.06490182722694414,-0.11208692099711369,-0.09018663155551153,-0.05378138179499471,-0.10494488621643591,-0.02952053901570244,-0.04757267261529518,-0.05135035563635693,-0.08637422173753713,-0.036329380865762484,-0.02359018144924728,0.005754045092915065,-0.04388287361565224,-0.0600223082054254,-0.045712040505565356,0.02103658989600112,-0.07910888480069564,-0.13317849679252808,-0.10634515358216394,-0.05492155887395306,0.009623533722957564,-0.08554925460215494
2005-06-30,-0.004074375785185012,0.002976445772550093,0.019517147653261614,-0.004917732626981225,-0.005188805340577502,-0.015539812890436244,0.0416941046262734,-0.005154556368821189,-0.0025476780076913517,-0.004728070227611796,0.047669812434198044,0.02926176513291273,0.015846841976291475,0.03317031851317802,0.026680655906386744,-0.04143275139221838,-0.006145699907611708,0.02374680716660765,0.05710697218763148,0.022179182914290302,0.001701973565054142,0.10828071296891245,0.01567550629152876,0.05169876595742037,0.021501241772624587,0.002971632404537429,-0.03991559997260306,-0.051544541537631564,0.0018541631262310521,-0.007548114690343041,-0.04878677595263357,0.026220319707420104
2005-07-29,-0.06857767530079167,-0.0162797777086831,0.012827785644666464,-0.0356841603312364,-0.09563958769662248,-0.06151431487132685,-0.013389262905503617,-0.06793577234042517,-0.0014058455885536073,-0.053111466619256684,0.0002832843762978049,0.012997152116658237,0.020182758848808987,-0.023502399524009968,-0.024325739668632464,-0.07456371730054687,-0.0649131388753842,-0.09639159534365835,-0.015448726116002981,-0.02253636404463676,-0.011585078260317402,-0.01566822148358808,0.03358524612188155,0.07279534890684156,-0.08821943059551034,-0.03583947630307557,-0.054827001871896146,-0.04172643278939785,0.03138440118180126,-0.08213216859488073,-0.0877209968982547,0.010728800877611421
2005-08-31,0.12635892126743883,0.09312654415349088,0.010858763185664044,0.08467294319856328,0.13059538840174995,0.08669185470446429,0.06150400933425335,0.12649715828951064,0.046175820515783395,0.0818376112160221,0.03677747267305935,0.009730292438958166,0.06309403165427382,0.083168237127251,0.09854848614746374,0.14198032955493137,0.11788768116980268,0.14360242362811645,0.12227942961606997,0.12742174064547926,0.13031492153368832,0.10150420164150949,0.005551877262489093,0.031097607616938232,0.0356816233762504,0.07437223747764353,0.13366141721465044,0.03670100742451019,0.0980921903357872,0.13225906342038674,0.19528244238343823,0.0437848008231508
2005-09-30,0.03010184399406239,0.008014662402790324,-0.029189215329646977,0.05579818950639989,-0.035873171846063916,-0.01666705248521176,0.007521680780554153,-0.002786505433252929,-0.0007249644466082734,0.022235346186881857,-0.015443167731490322,-0.009641729461767182,0.01983617569508541,0.03597922261527896,0.025787604896499536,-0.004635643149398511,0.027715672257933817,0.012715920531382529,0.09295103647296145,0.13418377758621497,-0.02549129646632908,-0.07272559721129239,-0.006477578076214662,-0.03741914771547666,0.0020032860579941754,0.026124557672375148,0.03720284017990452,0.040585061600394864,-0.016766413624220638,0.02373060120634938,-0.04928761487801183,-0.01140634961932904
2005-10-31,-0.037371754970504524,-0.0504472171224441,-0.0673629194564695,-0.05808288018728823,-0.04801689562979681,-0.058112688820159436,-0.036109589532753866,-0.0795864123790342,-0.07100506293067435,-0.03679931802071206,-0.06768661650924533,-0.07312953280545521,-0.04671464106869402,-0.0652136292982655,-0.02480231755229411,-0.09638283810559932,-0.0474959765951086,-0.04177720339104302,0.004371652915060017,-0.025118972651019176,-0.052975387891174064,0.017120355551750406,-0.013973419066835717,0.008898277502502702,-0.11306615172841133,-0.06832670683276122,-0.039024724726286375,-0.0803361309921255,-0.05963211915311392,-0.08150362831321113,-0.025356247599818072,-0.04584690488836897
